2016-01-03 18:52:24.3919 DEBUG ++@@140,148;	
2016-01-03 18:52:24.3919 DEBUG ++@@140,139;	
2016-01-03 18:52:24.3919 DEBUG ++@@141,157;	
2016-01-03 18:52:24.3919 DEBUG ++@@157,140;	
2016-01-03 18:52:24.4092 DEBUG ++@@140,208;	
2016-01-03 18:52:24.4092 DEBUG ++@@208,139;	
2016-01-03 18:52:24.4092 DEBUG ++@@400,3;	
2016-01-03 18:52:24.4092 DEBUG ++@@402,400;	
2016-01-03 18:52:24.4263 DEBUG ++@@3,402;	
2016-01-03 18:52:24.4263 DEBUG ++@@2,3;	
2016-01-03 18:52:24.4263 DEBUG ++@@333,402;	
2016-01-03 18:52:24.4391 DEBUG ++@@3,333;	
2016-01-03 18:52:24.4391 DEBUG ++@@3,59;	
2016-01-03 18:52:24.4391 DEBUG ++@@58,59;	
2016-01-03 18:52:24.4391 DEBUG ++@@3,58;	
2016-01-03 18:52:24.4561 DEBUG ++@@56,58;	
2016-01-03 18:52:24.4561 DEBUG ++@@3,56;	
2016-01-03 18:52:24.4561 DEBUG ++@@3,52;	
2016-01-03 18:52:24.4699 DEBUG ++@@25,3;	
2016-01-03 18:52:24.4699 DEBUG ++@@2,25;	
2016-01-03 18:52:24.4699 DEBUG ++@@24,52;	
2016-01-03 18:52:24.4699 DEBUG ++@@3,24;	
2016-01-03 18:52:24.4875 DEBUG ++@@25,24;	
2016-01-03 18:52:24.4875 DEBUG ++@@598,397;	
2016-01-03 18:52:24.4875 DEBUG ++@@599,598;	
2016-01-03 18:52:24.5005 DEBUG ++@@397,599;	
2016-01-03 18:52:24.5005 DEBUG ++@@402,405;	
2016-01-03 18:52:24.5005 DEBUG ++@@336,402;	
2016-01-03 18:52:24.5005 DEBUG ++@@405,336;	
2016-01-03 18:52:24.5175 DEBUG ++@@403,402;	
2016-01-03 18:52:24.5175 DEBUG ++@@336,403;	
2016-01-03 18:52:24.5175 DEBUG ++@@402,335;	
2016-01-03 18:52:24.5175 DEBUG ++@@335,405;	
2016-01-03 18:52:24.5350 DEBUG ++@@333,335;	
2016-01-03 18:52:24.5350 DEBUG ++@@150,348;	
2016-01-03 18:52:24.5350 DEBUG ++@@149,150;	
2016-01-03 18:52:24.5490 DEBUG ++@@297,150;	
2016-01-03 18:52:24.5490 DEBUG ++@@149,297;	
2016-01-03 18:52:24.5490 DEBUG ++@@301,149;	
2016-01-03 18:52:24.5666 DEBUG ++@@302,301;	
2016-01-03 18:52:24.5666 DEBUG ++@@30,12;	
2016-01-03 18:52:24.5666 DEBUG ++@@32,30;	
2016-01-03 18:52:24.5793 DEBUG ++@@12,32;	
2016-01-03 18:52:24.5793 DEBUG ++@@116,105;	
2016-01-03 18:52:24.5793 DEBUG ++@@117,116;	
2016-01-03 18:52:24.5793 DEBUG ++@@105,117;	
2016-01-03 18:52:24.5793 DEBUG ++@@29,12;	
2016-01-03 18:52:24.5966 DEBUG ++@@30,29;	
2016-01-03 18:52:24.5966 DEBUG ++@@29,28;	
2016-01-03 18:52:24.5966 DEBUG ++@@8,29;	
2016-01-03 18:52:24.5966 DEBUG ++@@29,44;	
2016-01-03 18:52:24.5966 DEBUG ++@@44,28;	
2016-01-03 18:52:24.6136 DEBUG ++@@44,30;	
2016-01-03 18:52:24.6136 DEBUG ++@@104,44;	
2016-01-03 18:52:24.6136 DEBUG ++@@30,104;	
2016-01-03 18:52:24.6136 DEBUG ++@@47,46;	
2016-01-03 18:52:24.6276 DEBUG ++@@46,102;	
2016-01-03 18:52:24.6276 DEBUG ++@@44,46;	
2016-01-03 18:52:24.6276 DEBUG ++@@46,28;	
2016-01-03 18:52:24.6276 DEBUG ++@@27,5;	
2016-01-03 18:52:24.6411 DEBUG ++@@28,27;	
2016-01-03 18:52:24.6411 DEBUG ++@@26,5;	
2016-01-03 18:52:24.6411 DEBUG ++@@27,26;	
2016-01-03 18:52:24.6411 DEBUG ++@@46,27;	
2016-01-03 18:52:24.6411 DEBUG ++@@47,27;	
2016-01-03 18:52:24.6574 DEBUG ++@@47,26;	
2016-01-03 18:52:24.6574 DEBUG ++@@5,4;	
2016-01-03 18:52:24.6574 DEBUG ++@@4,6;	
2016-01-03 18:52:24.6574 DEBUG ++@@4,2;	
2016-01-03 18:52:24.6741 DEBUG ++@@4,25;	
2016-01-03 18:52:24.6741 DEBUG ++@@26,25;	
2016-01-03 18:52:24.6741 DEBUG ++@@4,26;	
2016-01-03 18:52:24.6741 DEBUG ++@@13,14;	
2016-01-03 18:52:24.6901 DEBUG ++@@17,13;	
2016-01-03 18:52:24.6901 DEBUG ++@@13,12;	
2016-01-03 18:52:24.6901 DEBUG ++@@21,13;	
2016-01-03 18:52:24.6901 DEBUG ++@@13,32;	
2016-01-03 18:52:24.7062 DEBUG ++@@33,32;	
2016-01-03 18:52:24.7062 DEBUG ++@@13,33;	
2016-01-03 18:52:24.7062 DEBUG ++@@21,33;	
2016-01-03 18:52:24.7062 DEBUG ++@@21,18;	
2016-01-03 18:52:24.7218 DEBUG ++@@18,33;	
2016-01-03 18:52:24.7218 DEBUG ++@@22,18;	
2016-01-03 18:52:24.7218 DEBUG ++@@37,41;	
2016-01-03 18:52:24.7218 DEBUG ++@@36,37;	
2016-01-03 18:52:24.7385 DEBUG ++@@41,36;	
2016-01-03 18:52:24.7385 DEBUG ++@@36,23;	
2016-01-03 18:52:24.7385 DEBUG ++@@172,171;	
2016-01-03 18:52:24.7505 DEBUG ++@@185,172;	
2016-01-03 18:52:24.7505 DEBUG ++@@240,247;	
2016-01-03 18:52:24.7505 DEBUG ++@@239,240;	
2016-01-03 18:52:24.7686 DEBUG ++@@247,239;	
2016-01-03 18:52:24.7686 DEBUG ++@@186,192;	
2016-01-03 18:52:24.7686 DEBUG ++@@192,185;	
2016-01-03 18:52:24.7866 DEBUG ++@@192,162;	
2016-01-03 18:52:24.7866 DEBUG ++@@205,192;	
2016-01-03 18:52:24.7996 DEBUG ++@@162,205;	
2016-01-03 18:52:24.7996 DEBUG ++@@202,194;	
2016-01-03 18:52:24.7996 DEBUG ++@@203,202;	
2016-01-03 18:52:24.8166 DEBUG ++@@194,203;	
2016-01-03 18:52:24.8166 DEBUG ++@@194,193;	
2016-01-03 18:52:24.8166 DEBUG ++@@193,203;	
2016-01-03 18:52:24.8338 DEBUG ++@@203,215;	
2016-01-03 18:52:24.8338 DEBUG ++@@215,202;	
2016-01-03 18:52:24.8468 DEBUG ++@@202,223;	
2016-01-03 18:52:24.8468 DEBUG ++@@201,202;	
2016-01-03 18:52:24.8598 DEBUG ++@@223,201;	
2016-01-03 18:52:24.8598 DEBUG ++@@201,196;	
2016-01-03 18:52:24.8598 DEBUG ++@@196,202;	
2016-01-03 18:52:24.8788 DEBUG ++@@201,227;	
2016-01-03 18:52:24.8788 DEBUG ++@@227,196;	
2016-01-03 18:52:24.8788 DEBUG ++@@180,196;	
2016-01-03 18:52:24.8924 DEBUG ++@@227,180;	
2016-01-03 18:52:24.8924 DEBUG ++@@223,224;	
2016-01-03 18:52:24.8924 DEBUG ++@@224,201;	
2016-01-03 18:52:24.9081 DEBUG ++@@224,227;	
2016-01-03 18:52:24.9081 DEBUG ++@@196,195;	
2016-01-03 18:52:24.9081 DEBUG ++@@195,202;	
2016-01-03 18:52:24.9081 DEBUG ++@@195,194;	
2016-01-03 18:52:24.9261 DEBUG ++@@182,195;	
2016-01-03 18:52:24.9261 DEBUG ++@@196,182;	
2016-01-03 18:52:24.9261 DEBUG ++@@184,194;	
2016-01-03 18:52:24.9391 DEBUG ++@@195,184;	
2016-01-03 18:52:24.9391 DEBUG ++@@184,193;	
2016-01-03 18:52:24.9391 DEBUG ++@@192,193;	
2016-01-03 18:52:24.9391 DEBUG ++@@184,192;	
2016-01-03 18:52:24.9581 DEBUG ++@@184,185;	
2016-01-03 18:52:24.9581 DEBUG ++@@184,172;	
2016-01-03 18:52:24.9581 DEBUG ++@@197,180;	
2016-01-03 18:52:24.9715 DEBUG ++@@227,197;	
2016-01-03 18:52:24.9715 DEBUG ++@@176,175;	
2016-01-03 18:52:24.9715 DEBUG ++@@180,176;	
2016-01-03 18:52:24.9715 DEBUG ++@@175,180;	
2016-01-03 18:52:24.9905 DEBUG ++@@175,174;	
2016-01-03 18:52:24.9905 DEBUG ++@@182,175;	
2016-01-03 18:52:25.0006 DEBUG ++@@174,182;	
2016-01-03 18:52:25.0006 DEBUG ++@@73,175;	
2016-01-03 18:52:25.0006 DEBUG ++@@176,73;	
2016-01-03 18:52:25.0166 DEBUG ++@@61,384;	
2016-01-03 18:52:25.0166 DEBUG ++@@59,61;	
